# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPL10558).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
												
ID_REF	miR-neg_rep1	miR-neg_rep1.Detection Pval	miR-542-3p_rep1	miR-542-3p_rep1 .Detection Pval	miR-neg_rep2	miR-neg_rep2.Detection Pval	miR-542-3p_rep2	miR-542-3p_rep2.Detection Pval	miR-neg_rep3	miR-neg_rep3.Detection Pval	miR-542-3p_rep3	miR-542-3p_rep3.Detection Pval
ILMN_1343291	34462.9	0	30407.1	0	33629.5	0	29307.6	0	36107.3	0	29508.2	0
ILMN_1343295	18570.1	0	21195.5	0	17133.2	0	18254.5	0	20843.3	0	18627.4	0
ILMN_1651199	113.4	0.85325	117.3	0.83506	137.4	0.21948	123.8	0.35195	103.5	0.98182	116.8	0.77273
ILMN_1651209	123.1	0.65584	144.3	0.33377	131	0.36234	120.7	0.42468	152.1	0.12987	126	0.57532
ILMN_1651210	132.6	0.40519	149.7	0.24156	113.3	0.77403	122.1	0.39091	127	0.61558	146.1	0.16494
ILMN_1651221	133.7	0.38052	158.6	0.10649	141.6	0.15325	122.3	0.38701	147.3	0.18961	161.5	0.04026
ILMN_1651228	2131.7	0	563.6	0	1700.6	0	592.9	0	2215.1	0	454.7	0
ILMN_1651229	321.4	0	349.3	0	304.1	0	319.2	0	340.6	0	314.3	0
ILMN_1651230	129.4	0.48961	130	0.61299	125.8	0.50519	117.2	0.51299	113.4	0.88312	129.9	0.4974
ILMN_1651232	148.9	0.11169	148.1	0.25714	139.8	0.18182	124.7	0.32987	172.8	0.01429	147.9	0.15195
ILMN_1651235	127.6	0.53377	136	0.5039	114.2	0.76234	124.4	0.33636	129.5	0.56494	119.9	0.71558
ILMN_1651236	130.4	0.46234	129.3	0.62597	110.1	0.81818	105.1	0.83506	129.5	0.56494	118	0.75065
ILMN_1651237	2564.1	0	1523.4	0	2264.2	0	1618.3	0	2077.6	0	1169.6	0
ILMN_1651238	104.6	0.97273	127.4	0.66364	106.7	0.87013	106.9	0.7961	119.5	0.78052	107.1	0.91948
ILMN_1651249	112	0.87792	113.8	0.89091	107.9	0.85584	105.8	0.81948	137.8	0.38442	111.1	0.86234
ILMN_1651253	137.2	0.31948	152.5	0.1961	147.3	0.0987	125	0.32597	166	0.03377	121.5	0.68701
ILMN_1651254	1058.8	0	502.3	0	618.3	0	463.8	0	1064.8	0	385.1	0
ILMN_1651259	234.4	0.0013	211.5	0	215.7	0.0013	176.7	0.0013	253.2	0.0013	197.5	0.0026
ILMN_1651260	92.3	0.9987	112.8	0.9013	87.8	1	103.7	0.87403	111.7	0.90649	118.1	0.74935
ILMN_1651262	8804.1	0	7881.7	0	9490.4	0	8950.4	0	8971.4	0	7097.6	0
ILMN_1651268	118.7	0.76234	118.6	0.81429	115.4	0.74026	111.4	0.67273	131.2	0.52078	118.9	0.73117
ILMN_1651278	704	0	733.4	0	674.6	0	562.5	0	721.2	0	708.8	0
ILMN_1651279	122.9	0.66104	147.4	0.27143	138.8	0.2026	121.8	0.3974	150.2	0.15065	132.3	0.42597
ILMN_1651281	129.1	0.4961	125.6	0.6987	143.1	0.13896	126.6	0.28961	136.4	0.41688	126.3	0.57013
ILMN_1651282	474.1	0	956.2	0	410.6	0	519.1	0	447.8	0	1181.1	0
ILMN_1651285	124	0.63247	128.9	0.63377	120.5	0.64026	102.2	0.9026	118	0.81818	111.9	0.85455
ILMN_1651286	106.6	0.95195	108.9	0.94545	96.4	0.98701	102.3	0.9026	115.9	0.85065	105.4	0.94286
ILMN_1651288	165.8	0.01948	163.5	0.06364	150.6	0.06234	168.8	0.0013	168	0.02597	161.3	0.04156
ILMN_1651292	106.9	0.95065	112.1	0.91299	108.2	0.85325	108.9	0.74675	97.4	0.9987	108.5	0.9
ILMN_1651296	184.3	0.0026	176.4	0.01948	220.1	0	205.4	0	199.2	0.0013	211.7	0.0026
ILMN_1651303	119.7	0.73766	141.5	0.37922	141	0.15974	121.2	0.41429	147.5	0.18442	116.3	0.78442
ILMN_1651309	107.3	0.94545	93.5	1	100.1	0.96364	101	0.92208	102.5	0.98571	110.4	0.87273
ILMN_1651310	114.1	0.83896	126.9	0.67143	119.9	0.65325	110.8	0.68961	133.9	0.45714	123.2	0.65325
ILMN_1651315	1497.5	0	1338.3	0	1271.5	0	1201.9	0	1543.2	0	1293	0
ILMN_1651316	142.2	0.22468	130.5	0.6013	128.3	0.43117	141.7	0.06753	156.7	0.08831	127	0.55195
ILMN_1651325	124.6	0.61558	133.9	0.54675	107	0.86883	117.6	0.50779	113.1	0.88701	122.1	0.67403
ILMN_1651328	192.5	0.0013	191.6	0	202.8	0.0013	194.4	0	178.7	0.01169	204.8	0.0026
ILMN_1651329	139.6	0.26494	143.6	0.33896	138.8	0.2026	120.7	0.42078	132.2	0.49221	157.5	0.05455
ILMN_1651330	123.2	0.65455	102.5	0.99221	104.9	0.9	110.4	0.6987	129.5	0.56623	107.1	0.91948
ILMN_1651336	132.7	0.4013	146	0.2961	118.6	0.67403	122.1	0.39091	134.1	0.45455	160.1	0.04286
ILMN_1651339	154.8	0.05714	181.2	0.01429	153.8	0.04416	146.2	0.04545	148.2	0.17532	165.5	0.02468
ILMN_1651341	170	0.00909	134.9	0.52597	174.5	0.0039	140.3	0.07792	167.7	0.02857	168.6	0.01948
ILMN_1651343	160.1	0.02857	154.9	0.15455	138.4	0.2026	164.7	0.0013	135.4	0.42597	175.5	0.00909
ILMN_1651346	301.8	0	246.5	0	258.3	0	297.9	0	296.8	0	210.3	0.0026
ILMN_1651347	3441.9	0	1791.5	0	2467.7	0	1525	0	3003.9	0	1482	0
ILMN_1651351	129.1	0.4974	139.6	0.42597	133.2	0.31688	104	0.86234	137.1	0.3987	126.3	0.56623
ILMN_1651354	531.7	0	243.1	0	429.6	0	179.1	0.0013	616.9	0	242.9	0
ILMN_1651358	202.3	0.0013	168.4	0.03636	225.1	0	164.7	0.0013	220.8	0.0013	181.2	0.00519
ILMN_1651364	157.8	0.04026	134.9	0.52468	152.7	0.04805	127.3	0.27403	167.3	0.02857	146.3	0.16494
ILMN_1651365	139.4	0.27143	149.4	0.24416	173.6	0.00519	143.8	0.05325	144.2	0.23636	139.2	0.28571
ILMN_1651369	130.6	0.45325	129.2	0.62857	113.7	0.76753	110.3	0.7039	121.5	0.74935	112.1	0.85325
ILMN_1651370	139	0.28182	132.2	0.57013	149.1	0.07532	121.2	0.41039	157.9	0.07792	150.1	0.12078
ILMN_1651373	128.2	0.52338	123.4	0.73377	122.5	0.58571	132.3	0.16753	110.2	0.92078	116.5	0.77792
ILMN_1651378	555.7	0	440.3	0	527.3	0	392.2	0	498.7	0	434.2	0
ILMN_1651380	133.2	0.39351	142	0.37143	129.1	0.4039	129.3	0.23377	141.1	0.3	122.4	0.67143
ILMN_1651385	781	0	332.5	0	758.2	0	367.9	0	785.2	0	298.7	0
ILMN_1651388	152.9	0.07273	165.3	0.05195	160	0.01818	141.2	0.07013	146.8	0.19351	151.1	0.10519
ILMN_1651395	135.9	0.34805	140.5	0.4026	139.7	0.18182	137.2	0.11688	124.1	0.68182	112.2	0.84935
ILMN_1651396	141.8	0.22468	144.9	0.31948	144.1	0.12468	148.5	0.02987	156.1	0.09481	162.1	0.04026
ILMN_1651403	135	0.35844	151.7	0.20519	153.1	0.04545	132.2	0.16883	164.2	0.03766	146.6	0.16234
ILMN_1651404	134.1	0.37013	154.8	0.15584	130.2	0.37792	117.5	0.51039	143.6	0.24675	120.4	0.70519
ILMN_1651405	901.5	0	961.8	0	960.5	0	1127.5	0	868.5	0	920.3	0
ILMN_1651408	109.7	0.91558	133.1	0.55714	108.6	0.84805	115.5	0.56494	114.1	0.87273	121.8	0.68182
ILMN_1651415	155.2	0.05714	144.1	0.33377	133.9	0.3	133.6	0.15195	145.5	0.21169	134.8	0.37922
ILMN_1651428	151.4	0.08442	137.7	0.46753	135.6	0.25455	116.9	0.52208	145.1	0.22208	138	0.31169
ILMN_1651429	970.8	0	1347.2	0	968.6	0	895.3	0	1038.2	0	1419.9	0
ILMN_1651430	108	0.94026	107.8	0.95325	110	0.81818	104.8	0.84675	108	0.94805	109.1	0.89091
ILMN_1651433	1033.9	0	673.9	0	1165	0	615.7	0	907.9	0	730.2	0
ILMN_1651435	131.9	0.42987	154.2	0.16883	124.3	0.54416	107.7	0.77403	127.8	0.6039	114.1	0.81818
ILMN_1651437	120.9	0.71429	145.1	0.31429	126.4	0.49221	105.6	0.82078	133.1	0.47532	127.3	0.54935
ILMN_1651438	291.2	0	544.9	0	278.6	0	388.4	0	318.7	0	421.1	0
ILMN_1651447	133.4	0.38442	134.2	0.54286	123.6	0.56494	109.2	0.74026	137.7	0.38701	125.7	0.58182
ILMN_1651453	127.8	0.53117	124.6	0.70779	153.1	0.04545	136.4	0.12597	181.5	0.00779	164.1	0.02987
ILMN_1651456	125.3	0.5987	111.4	0.91818	105.2	0.89481	94.5	0.97922	115.7	0.85065	123.1	0.65714
ILMN_1651457	130	0.47143	149.4	0.24416	125.2	0.51818	125.8	0.30519	156.3	0.09351	144.3	0.19221
ILMN_1651464	153.3	0.07013	153.8	0.17662	142.3	0.14935	140.4	0.07792	157.9	0.07792	163.8	0.03117
ILMN_1651466	128.7	0.5039	152.1	0.2013	122.3	0.58831	123.5	0.35974	141.5	0.28312	136.1	0.35195
ILMN_1651470	123.2	0.65325	126.8	0.67403	116.9	0.71039	118.4	0.49221	133.2	0.47013	133.6	0.40649
ILMN_1651477	135.3	0.35325	116.9	0.84416	122.8	0.57922	114.7	0.58961	122.8	0.71299	114.9	0.80649
ILMN_1651486	174.4	0.00909	154	0.17143	163.6	0.01299	137.3	0.11299	160.2	0.06234	155.4	0.06623
ILMN_1651488	139.2	0.27403	159	0.1	165.5	0.01039	130.1	0.22078	149.7	0.15584	168.9	0.01948
ILMN_1651490	122.8	0.66234	144.2	0.33377	152.3	0.04935	113.3	0.62338	117.9	0.81818	112.8	0.84026
ILMN_1651492	142.1	0.22468	166.2	0.04416	148.3	0.08442	145.2	0.04805	148.7	0.16883	148.4	0.14156
ILMN_1651495	130.9	0.45065	126.8	0.67403	120.2	0.64675	102.4	0.8974	127.4	0.60909	105.9	0.93506
ILMN_1651496	600.7	0	1224.3	0	805.2	0	1039.9	0	594	0	1191.4	0
ILMN_1651498	111.3	0.88442	116.3	0.85195	94.9	0.99091	104.1	0.85844	134.2	0.44935	117.3	0.76234
ILMN_1651499	120.6	0.72078	136.6	0.48701	113.1	0.77792	112.3	0.65455	129.7	0.55974	115.2	0.8
ILMN_1651501	111.9	0.87922	112.9	0.9	108.5	0.84935	104.9	0.84675	119.8	0.77532	121.2	0.69481
ILMN_1651504	291.1	0	316.2	0	245.6	0	349.6	0	342.4	0	327.8	0
ILMN_1651506	229.6	0.0013	280.2	0	214	0.0013	238.4	0	263.1	0	252.5	0
ILMN_1651507	208.3	0.0013	234.3	0	194.3	0.0013	241.8	0	173.6	0.01429	225.7	0.0013
ILMN_1651508	150.8	0.08831	156.5	0.12857	142.1	0.14935	124.8	0.32857	155	0.10779	147.8	0.15325
ILMN_1651513	587.1	0	584.6	0	538.6	0	698.9	0	537.2	0	585.2	0
ILMN_1651520	115.8	0.80519	157.3	0.11558	169.9	0.00649	133.1	0.15844	150.2	0.14935	136	0.35325
ILMN_1651532	125.5	0.5961	138.6	0.44545	137.7	0.21688	111	0.68442	146.2	0.2039	127.1	0.55065
ILMN_1651535	148.1	0.11948	162.6	0.06883	134.9	0.27792	137.6	0.10909	150.9	0.14026	152.3	0.09091
ILMN_1651536	125.3	0.6	115	0.87532	104.1	0.91169	105.2	0.83117	103	0.98442	119.1	0.72857
ILMN_1651538	299.8	0	310.6	0	253.6	0	265.4	0	340.8	0	268	0
ILMN_1651543	148.9	0.11169	119.4	0.8039	119.2	0.66364	113	0.63507	130.4	0.54026	126.6	0.56234
ILMN_1651544	305.7	0	265.3	0	336.3	0	221.6	0	327.8	0	232.5	0
ILMN_1651547	136.2	0.34416	184.8	0.00909	146.7	0.1039	129	0.24416	148	0.17532	180.9	0.00519
ILMN_1651554	161.1	0.02597	140.1	0.41429	126.3	0.49481	123.2	0.36364	147.8	0.17792	136.6	0.33636
ILMN_1651557	382.4	0	361.6	0	353.9	0	350.7	0	330.3	0	273.8	0
ILMN_1651563	116.6	0.78831	104.6	0.97922	112.7	0.78701	110.8	0.68961	127.4	0.61039	109.6	0.88052
ILMN_1651565	149	0.11169	158.1	0.10909	147.5	0.09221	137.9	0.1039	161.8	0.05195	163.3	0.03117
ILMN_1651567	138.4	0.2961	117.3	0.83636	137.8	0.21299	116.7	0.52727	130.8	0.53117	136.3	0.34675
ILMN_1651568	106.3	0.95584	186.8	0.00649	150.2	0.06623	122.3	0.38571	127.5	0.60909	126.2	0.57403
ILMN_1651569	130	0.47143	155	0.15325	146.9	0.1026	143.7	0.05325	166.7	0.02857	163	0.03117
ILMN_1651574	113.6	0.84935	118.5	0.81688	115.6	0.73636	98.8	0.95065	122	0.73247	115.3	0.7961
ILMN_1651576	137.4	0.31688	138	0.46104	125.9	0.5039	128.5	0.25325	131	0.52468	127.7	0.53896
ILMN_1651582	113.1	0.85714	131.3	0.58831	125.3	0.51818	101	0.91948	128.8	0.58182	122.1	0.67403
ILMN_1651584	139.6	0.26753	143.7	0.33636	111.1	0.80779	113.5	0.61948	132.2	0.49091	163.2	0.03117
ILMN_1651597	108.7	0.92987	123.7	0.72468	102.8	0.93117	98.8	0.95325	108.5	0.93636	115.1	0.8026
ILMN_1651599	160.5	0.02727	142	0.37143	162.1	0.01558	141.4	0.06883	138.5	0.37143	144.4	0.18961
ILMN_1651604	117.6	0.77532	143.2	0.34156	114.4	0.76104	120.5	0.42857	132.6	0.48442	119.7	0.71818
ILMN_1651606	149.4	0.1026	138.5	0.44675	166.3	0.01039	140.2	0.07792	137.1	0.3987	133.2	0.40779
ILMN_1651608	142.2	0.22468	148.4	0.25195	150.3	0.06494	122.6	0.38312	147.1	0.19221	155	0.06883
ILMN_1651609	134.4	0.36494	154.7	0.15714	137.8	0.21299	121.4	0.40519	137.9	0.38442	146.3	0.16494
ILMN_1651610	154.9	0.05714	167	0.04156	136.4	0.23506	146.3	0.04416	186	0.0039	180	0.00519
ILMN_1651617	147.6	0.12727	142	0.37143	120.9	0.62857	123.6	0.35584	137.3	0.3961	146.3	0.16494
ILMN_1651624	128.7	0.5039	111.5	0.91688	114.8	0.75065	106.4	0.80649	123	0.70779	120.6	0.7013
ILMN_1651628	272.3	0	236.4	0	313.8	0	261.6	0	280.3	0	281.2	0
ILMN_1651636	122.2	0.68182	135.8	0.50649	157.8	0.02338	113.2	0.62597	155	0.10779	129	0.51169
ILMN_1651637	134.6	0.36364	132.5	0.56494	114.3	0.76234	110.5	0.6987	142.2	0.27143	113.9	0.82208
ILMN_1651641	142.1	0.22468	120.9	0.78312	127.3	0.45584	116.4	0.54026	118.4	0.81039	126.9	0.55195
ILMN_1651642	223.9	0.0013	340.6	0	204.4	0.0013	288.1	0	203.7	0.0013	356.4	0
ILMN_1651643	143.6	0.2026	157.8	0.11039	138.1	0.20779	121.7	0.3987	127.6	0.60779	133.9	0.3987
ILMN_1651652	127.9	0.52987	120.1	0.7961	123.8	0.55974	113.4	0.62338	127.6	0.60779	117.4	0.75584
ILMN_1651656	144.6	0.18182	129.4	0.62208	130.3	0.37662	111.6	0.66883	134	0.45455	115.4	0.79481
ILMN_1651657	133	0.3974	139.6	0.42597	114.8	0.75455	133.9	0.14935	143.5	0.24675	139.3	0.28442
ILMN_1651660	141.5	0.22857	145.1	0.31429	132.4	0.33377	123.9	0.35065	136.1	0.41818	139.7	0.27792
ILMN_1651662	104.4	0.97662	117.9	0.82987	105.6	0.88701	96.9	0.96753	111.3	0.91429	107	0.91948
ILMN_1651664	144.7	0.17792	184.1	0.00909	149.2	0.07532	114.7	0.59221	155.4	0.1	140.1	0.27143
ILMN_1651672	137.2	0.31948	154.1	0.16883	138.7	0.2026	135.5	0.12987	125.9	0.64286	137.5	0.32468
ILMN_1651680	28332.5	0	29810.4	0	28788.3	0	25593	0	29461.4	0	26214.7	0
ILMN_1651681	153.4	0.07013	135.7	0.50779	158.4	0.02078	123.2	0.36494	145	0.22208	154.5	0.07403
ILMN_1651684	442.4	0	451.2	0	451.7	0	411.8	0	527.7	0	374.6	0
ILMN_1651685	119.6	0.73766	125.4	0.7	109.1	0.83896	114	0.60779	119	0.79351	110.3	0.87273
ILMN_1651690	167.3	0.01169	235	0	151.5	0.05584	168.9	0.0013	170.4	0.02078	196.6	0.0026
ILMN_1651692	222.4	0.0013	230.1	0	200.3	0.0013	212.1	0	210.6	0.0013	226.8	0.0013
ILMN_1651693	166.7	0.01558	156.8	0.12078	168	0.00909	153.7	0.01818	158	0.07532	151.4	0.1013
ILMN_1651699	169	0.00909	150.1	0.23506	150.8	0.05844	168.6	0.0013	172.7	0.01558	163.5	0.03117
ILMN_1651705	735.2	0	867.1	0	761.8	0	661.4	0	876.6	0	793.5	0
ILMN_1651708	146.9	0.14026	126.6	0.67662	130.3	0.37792	129.4	0.23377	133.1	0.47403	131.1	0.45714
