gene_symbol,logFC,adj_pvalue
ARPC1A,-2.5822072602888415,9.84753913105595e-14
PDIA6,-2.50389519609395,9.977738897109895e-14
BIRC5,-2.9916164109275574,1.0290165903186177e-13
TMEM14A,-2.2455094156775424,1.4353333474683306e-13
LOC728453,-2.7644469668605307,2.0143340749058912e-13
EBP,-2.3923807040005087,3.459684078455387e-13
EPDR1,-2.0114449590067345,7.101104565000244e-13
LOC646195,-2.151319708115503,9.510426889560532e-13
SEC11A,-2.0015656852395036,1.6062136264761815e-12
VGF,1.973211782132143,1.839601239198616e-12
LOC645899,-2.281853927215531,2.242279123898344e-12
LRRC20,-2.220939289294293,3.0803161106421367e-12
ZMAT5,-1.8771511351053194,3.254228286880157e-12
MLLT11,-2.0258464824502003,3.259158807814026e-12
C12orf5,1.9571731948177522,3.431723818686641e-12
ILK,-1.8466223119057847,3.737215748046841e-12
UBA52,-1.766798722509348,5.055668125399768e-12
DHCR24,-2.187434002423755,7.094975797279616e-12
TAGLN,-2.532211012384068,7.111165240589392e-12
SH3KBP1,-1.8265081982047278,7.1771850808232425e-12
FST,1.9661635387960743,7.977401853509141e-12
PROSC,-1.733980907948741,8.379954345613723e-12
KIAA0114,-1.8136689476401386,9.52786728273755e-12
ACTA2,1.9449818622047035,9.824072263227516e-12
RPL22,-1.9876020240999885,1.102454120535264e-11
RNF114,-1.8131271676752707,1.2872382317488579e-11
CREG1,-1.9349959898261684,1.3610836607421773e-11
CYFIP2,2.23543731250696,1.3947425680687517e-11
DERL1,-1.6814579164166013,1.5358463141319553e-11
RPS23,-1.8940237518884437,1.7563307565330904e-11
BIRC5,-1.665588046030484,1.7839485045380262e-11
SH3KBP1,-1.815561717872919,1.8644876918108655e-11
RNF114,-1.639076584335525,1.999984347708636e-11
BEX1,-1.8606779727355942,2.468021077917399e-11
CIP29,-1.7075063662444148,2.7427167443030403e-11
DDX47,-1.8898403321237165,3.1974422743279884e-11
LAMC2,-1.666689808294536,3.198687632681749e-11
C5orf15,-1.604293903105832,3.256384119557289e-11
C7orf10,2.4546397589219957,3.298169388760414e-11
SEPT2,-2.0438396300495683,3.7374525619911237e-11
LRRC20,-1.7899058937109729,3.86158490648556e-11
STK40,-1.6680309703643346,3.90573468148579e-11
SEPT2,-2.0604200661772083,3.9433707622985076e-11
TMEM54,-1.577161777247202,4.413848589994598e-11
PSTPIP2,1.5575283375735056,4.5839114402614724e-11
MYH9,-2.1055907983787563,4.821015159114172e-11
PPP2R1A,-1.5499191541353259,5.031310411915971e-11
DDX47,-1.7976381957538354,5.540758066778236e-11
UBE3C,-1.6528760945813463,5.7231513080959495e-11
PGK1,-1.7337123782538963,5.984714206542278e-11
CBX6,-2.060434507038405,6.326334674815488e-11
UBE2E1,-1.5894480693436126,6.893729583561693e-11
LOC203547,-1.7895178189991068,7.41492888882231e-11
DTNA,-1.9364523533868025,7.453454838542018e-11
WDFY1,1.5945477139335225,8.538235392796188e-11
NRIP3,-2.0185470233867377,8.795586981107126e-11
RPS28,-1.9059489050986524,8.896361901385006e-11
EXTL3,-1.4863248764174628,9.794627096543422e-11
GNA12,-1.481132532123004,1.0299312366725213e-10
IDH1,-1.8636548171398495,1.1185970325189987e-10
POLR3H,-1.587889350291185,1.1269396527196298e-10
PTBP2,1.487368319148647,1.1915680738235708e-10
CARD10,-1.5492841824540182,1.2504875534979903e-10
LANCL1,-1.5344794105381112,1.395470307852017e-10
ITGB1,-1.7631536600976876,1.4052046702141254e-10
NSFL1C,-1.4707336961713011,1.423958299484827e-10
RAD51C,1.6388367918015483,1.4654378973242048e-10
MTMR2,-1.4732933976228333,1.5707129461421892e-10
TUBB2B,-2.0630439572209944,1.5931917104369863e-10
SPRYD3,-1.41577985399981,1.7295007733162686e-10
CMBL,1.7312310764863454,1.746824541863017e-10
ITGB1BP1,-1.4709737055732592,1.7794968572245147e-10
SESN1,1.8238027919722857,1.9525735391518588e-10
RPS6KA4,-1.5909223609349166,2.085731420206222e-10
KIAA0101,-1.6660210854236883,2.3213039541501585e-10
SCARA3,-1.5750044742067777,2.3813400269142446e-10
CCDC77,-1.4364839778611262,2.4793447848240843e-10
ARHGDIB,-1.585870839516132,2.544686918225744e-10
RAI14,-1.4129790921716925,2.837389930872393e-10
PEX19,-1.3616186112697228,2.8597667220102606e-10
UNC84B,-1.425571174119046,3.050431935088619e-10
NSFL1C,-1.5001815865040928,3.2139568853725783e-10
TAGLN,-3.0269816039108743,3.3429347919367585e-10
SRF,-1.3289360140405613,3.5596337172532867e-10
C3orf10,-1.671515384617786,3.9121368836392953e-10
RALB,-1.3530811586389149,3.967143477419329e-10
CTTN,-1.6683889188253662,4.2551626752195546e-10
RRM2B,1.5586384102990287,4.335028033210278e-10
RAP1GAP,-1.3752841455934837,4.968113441593523e-10
CALU,1.4686935518412128,5.079244671258739e-10
GPRIN1,-1.3300569890184022,5.308657045181802e-10
IL7R,1.4089168944313428,5.37609295006713e-10
BTG2,2.0230086711437067,5.432623829141238e-10
XPC,1.4116920768249699,5.928074283565169e-10
IDH1,-1.68595955501047,6.080540470343995e-10
RAD51C,1.573638616757611,7.201191505003862e-10
ETS1,-1.468211015961323,7.21470245444037e-10
GLO1,1.4538671412786126,7.866348316976369e-10
RRAS,-1.829062741155326,8.108065481317291e-10
PRNP,-1.3954041688338972,8.848158478019809e-10
KIF3B,-1.4232864109085739,1.0003299806263258e-09
PTBP2,1.311528562138136,1.0522863377407012e-09
